file_id,mean,std,rms,peak,peak_to_peak,crest_factor,skewness,kurtosis,energy,spectral_mean,spectral_std,spectral_peak,peak_frequency,spectral_energy,spectral_entropy,fault_band_1_power,fault_band_2_power,fault_band_3_power,fault_band_4_power,rpm_mean,rpm_std,rpm_min,rpm_max,rpm_range,rpm_trend
11,1.0080232944649954e-17,0.9999999999999998,0.9999999999999998,4.441203280677848,8.62190466494002,4.441203280677849,-0.0026231340090912365,-0.11227555231119002,187499.99999999994,199.52061205064686,384.30914755275523,18092.000333203752,44496.5,17578124578.547295,11.79705157843797,391079.5211838083,31622884.617948048,29760577.125412032,100453722.2082571,591872771.3800983,651571.1542870004,590503444.8658888,593182982.9774979,2679538.1116091013,-3363.872143697772
12,1.880096078821225e-17,0.9999999999999998,0.9999999999999998,4.380387372190575,8.452668990302993,4.380387372190576,0.009457484167691762,-0.08552197920531457,187499.99999999994,192.17779799835907,388.0324808735465,20208.645885477756,5238.0,17578079272.52312,11.44218125164203,369615.96780802007,26661359.868429255,25131187.39520192,127006977.58913052,592280084.2126507,138341.46001447964,591880348.6254174,592609292.9565157,728944.3310983181,383.61720315037985
13,2.4253192047278088e-18,1.0,1.0,4.343457699663236,8.418092295070931,4.343457699663236,-0.05318967686977083,-0.07699663794737299,187500.0,193.94421799601827,387.15320646854974,15076.81411422444,5224.0,17578121714.25064,11.957187198536351,304977.1278780593,22790643.291725107,19303176.27750315,144661042.80943632,591693039.4110378,855215.9472730706,590421629.2698004,593997300.8762577,3575671.6064572334,1922.4650641652988
14,-8.090713284521675e-18,1.0,1.0,4.6356188316990075,9.136138475640703,4.6356188316990075,-0.002088078479761953,-0.011959654734267744,187500.00000000003,217.76464013604792,374.273272695838,7541.817688951371,4462.5,17578117605.707188,13.173030355701389,71670.26953361879,24559322.439834766,18297424.044501085,58809694.9793853,593933284.4793617,626415.5121675201,592162609.4316852,594904445.126014,2741835.694328785,-3164.843588423673
15,-2.0615213240186374e-17,1.0,1.0,3.5735988341934126,6.950547131997315,3.5735988341934126,0.003965654939753081,-0.5576511075989741,187500.0,160.4891198774596,402.1756349805581,30504.54431822253,29902.5,17578124901.53759,8.970279550423829,165535.840030552,19082291.132319525,19619720.87886457,36122285.98001858,592621966.7377921,285207.30626471183,592014279.9106618,593279957.4736769,1265677.5630151033,242.14792839837406
16,-3.9458806592544233e-17,0.9999999999999999,0.9999999999999999,4.273712260158429,8.493216693301473,4.27371226015843,-0.008895722919718407,-0.14891965627837056,187499.99999999997,205.337537465077,381.2328616442412,21719.766296973736,45089.0,17578124912.65832,11.579953830897043,317664.5324554015,25734689.0101423,34867283.3401581,80809456.41117236,592457092.5977181,84264.19758713944,592281700.75931,592698585.636827,416884.87751698494,-94.08318425915348
17,-3.600083194517841e-18,1.0,1.0,4.680778730938745,9.072400289725156,4.680778730938745,0.022262189203484526,-0.14870962260356935,187500.0,184.82373337190364,391.58904359852113,41136.202586517655,29916.0,17578105449.827236,10.326288495438689,253450.09996522815,20157924.050971694,34248349.427726805,86799221.82906865,592312530.5316674,263799.83622504264,591910867.1678369,593056025.6074082,1145158.4395712614,1136.29699867071
18,-3.628504903948245e-18,1.0,1.0,4.242479473293305,8.368423042944151,4.242479473293305,0.02776316334651235,-0.16892032327752826,187500.0,190.00002499856402,389.1040601404707,26913.740722783696,5182.0,17578123040.263443,11.181925506156382,311413.27372623014,22125112.09995769,18668136.578015074,78409578.7461947,592014871.3157305,293310.0849985811,591243292.673324,592605546.998627,1362254.3253029585,-846.749248203348
19,2.1069960591072837e-17,0.9999999999999998,0.9999999999999998,4.387176738578269,8.705008446085811,4.38717673857827,-0.016542268802781344,-0.11345243264723903,187499.99999999994,188.49834051998212,389.83377679450723,38465.447200492206,5159.0,17578124801.938667,10.898508884913031,308444.316241486,20611831.62978796,32571167.90292597,33625486.413469486,592297378.9045634,692665.2058347322,591124618.5275667,593891940.173694,2767321.646127343,-2828.746824701147
20,5.722237498654674e-18,0.9999999999999999,0.9999999999999999,4.3812922158300225,8.34275950260384,4.381292215830023,0.05152251898448116,-0.18021911286081949,187499.99999999997,169.49315228751132,398.4645482498508,15888.244427647609,29822.0,17578117955.979664,11.094736973614923,166439.1918631974,13781334.36923749,18045096.11286043,31588357.00236609,592425659.4250721,242264.75022688473,591897787.4071524,593041019.4612539,1143232.0541014671,1114.052655261335
